Year,Day,Part,PC (ms),RP2040 (ms),RP2350 (ms),RP2350 @ 300MHz (ms),,,,,
2015,1,1,0.122,65.619,42.581,28.15,,Min,Max,Avg,Median
2015,1,2,0.082,64.128,42.279,28.024,,2.237,27764.055,1207.659245,215.076
2015,2,1,0.19,80.484,56.173,32.261,,,,,
2015,2,2,0.205,80.029,55.74,32.298,,,,,
2015,3,1,0.307,90.747,56.331,35.904,,,,,
2015,3,2,0.355,89.964,55.225,35.676,,,,,
2015,4,1,8.408,834.399,403.33,202.1,,,,,
2015,4,2,276.745,27764.055,13464.475,6732.275,,,,,
2015,5,1,3.061,620.047,321.098,173.952,,,,,
2015,5,2,3.463,752.972,419.711,218.752,,,,,
2015,6,1,13.232,804.371,581.009,296.139,,,,,
2015,6,2,10.108,2239.112,1218.86,614.149,,,,,
2015,7,1,0.174,63.37,39.988,22.791,,,,,
2015,7,2,0.187,66.621,42.306,24.394,,,,,
2015,8,1,0.14,63.658,39.191,26.024,,,,,
2015,8,2,0.14,64.167,40.922,25.987,,,,,
2015,9,1,2.919,300.299,204.781,103.166,,,,,
2015,9,2,2.821,299.761,205.412,103.587,,,,,
2015,10,1,0.059,3.134,2.014,1.046,,,,,
2015,10,2,0.07,3.439,1.89,1.223,,,,,
2015,11,1,1.02,215.076,103.289,51.708,,,,,
2015,11,2,5.141,1171.766,504.883,252.805,,,,,
2015,12,1,2.766,556.815,350.755,212.881,,,,,
2015,12,2,0.688,379.286,225.296,145.6,,,,,
2015,13,1,0.21,56.054,31.976,17.977,,,,,
2015,13,2,0.711,156.584,78.439,41.518,,,,,
2015,14,1,0.052,8.283,5.534,3.625,,,,,
2015,14,2,0.129,26.991,15.825,8.29,,,,,
2015,15,1,1.528,276.748,142.31,71.354,,,,,
2015,15,2,1.574,265.705,132.535,66.441,,,,,
2015,16,1,0.27,200.104,130.718,85.55,,,,,
2015,16,2,0.395,239.618,147.509,90.854,,,,,
2015,17,1,8.821,1367.746,777.925,389.282,,,,,
2015,17,2,8.882,1367.367,777.789,389.13,,,,,
2015,18,1,3.259,853.137,467.478,243.501,,,,,
2015,18,2,3.282,852.746,467.102,243.872,,,,,
2015,19,1,0.7,98.77,52.145,27.297,,,,,
2015,19,2,0.11,55.291,37.657,19.658,,,,,
2015,20,1,4.379,985.618,389.906,195.562,,,,,
2015,20,2,6.191,1570.474,599.657,300.141,,,,,
2015,21,1,0.062,6.842,3.955,2.33,,,,,
2015,21,2,0.044,4.181,2.575,1.359,,,,,
2015,22,1,26.965,3454.953,1787.479,894.251,,,,,
2015,22,2,4.033,518.586,268.115,134.104,,,,,
2015,23,1,0.048,5.163,3.484,2.467,,,,,
2015,23,2,0.041,4.68,3.245,1.914,,,,,
2015,24,1,40.308,9482.642,3309.633,1655.219,,,,,
2015,24,2,2.747,641.464,224.147,112.307,,,,,
2015,25,1,0.046,2.237,1.624,0.842,,,,,
2015,25,2,,,,,,,,,
,,,,,,,,,,,
Year,Day,Part,PC (ms),RP2040 (ms),RP2350 (ms),RP2350 @ 300MHz (ms),,,,,
2016,1,1,0.041,8.012,4.8,2.914,,Min,Max,Avg,Median
2016,1,2,0.041,8.849,5.082,2.969,,0.755,450195.662,17832.64284,134.623
2016,2,1,0.077,27.958,18.657,11.131,,,,,
2016,2,2,0.078,28.373,18.958,11.044,,,,,
2016,3,1,0.43,251.307,167.105,101.516,,,,,
2016,3,2,0.424,251.299,168.144,100.58,,,,,
2016,4,1,3.567,609.55,411.182,237.756,,,,,
2016,4,2,0.664,451.715,296.001,174.909,,,,,
2016,5,1,709.224,93394.042,41964.46,20982.713,,,,,
2016,5,2,2114.968,280235.986,124677.791,62339.39,,,,,
2016,6,1,0.112,56.384,35.301,22.784,,,,,
2016,6,2,0.11,55.628,34.235,22.58,,,,,
2016,7,1,3.333,1807.537,1174.043,703.038,,,,,
2016,7,2,3.466,1829.469,1178.929,699.528,,,,,
2016,8,1,0.137,45.355,29.302,17.474,,,,,
2016,8,2,0.412,48.27,32.852,20.197,,,,,
2016,9,1,0.206,123.262,81.095,53.795,,,,,
2016,9,2,0.275,134.623,82.389,54.034,,,,,
2016,10,1,0.307,118.502,74.115,42.203,,,,,
2016,10,2,0.31,118.546,74.715,41.722,,,,,
2016,11,1,4.067,521.335,294.012,147.924,,,,,
2016,11,2,23.854,2905.414,1651.349,825.943,,,,,
2016,12,1,5.328,224.481,138.352,69.537,,,,,
2016,12,2,153.841,6425.617,4124.113,2062.338,,,,,
2016,13,1,0.036,1.97,1.283,0.698,,,,,
2016,13,2,0.034,1.283,0.986,0.757,,,,,
2016,14,1,3.766,599.749,237.716,119.383,,,,,
2016,14,2,3584.293,450195.662,203136.451,101567.845,,,,,
2016,15,1,0.038,4.299,3.076,1.954,,,,,
2016,15,2,0.036,4.874,2.851,1.868,,,,,
2016,16,1,0.04,1.423,1.074,0.763,,,,,
2016,16,2,55.009,26765.52,9970.518,4985.538,,,,,
2016,17,1,0.064,3.031,1.941,1.42,,,,,
2016,17,2,14.325,1929.726,910.193,455.274,,,,,
2016,18,1,0.056,1.748,1.354,0.95,,,,,
2016,18,2,2.603,1144.572,614.822,307.735,,,,,
2016,19,1,0.04,0.755,0.867,0.61,,,,,
2016,19,2,0.032,0.9,0.807,0.792,,,,,
2016,20,1,0.345,201.035,122.457,80.38,,,,,
2016,20,2,0.361,200.247,124.938,80.175,,,,,
2016,21,1,0.186,85.512,43.844,24.35,,,,,
2016,21,2,8.844,1386.837,674.075,339.238,,,,,
2016,22,1,1.083,617.28,347.901,217.188,,,,,
2016,22,2,0.784,487.329,302.963,194.072,,,,,
